size of the array,time of ArrayStack,time of LinkedListStack
538,42.0,125.0
539,84.0,166.0
540,83.0,167.0
541,41.0,167.0
542,84.0,125.0
543,42.0,125.0
544,83.0,208.0
545,42.0,125.0
546,84.0,166.0
547,41.0,167.0
548,41.0,125.0
549,41.0,125.0
550,41.0,167.0
551,42.0,167.0
552,42.0,125.0
553,42.0,125.0
554,42.0,167.0
555,41.0,167.0
556,83.0,125.0
557,42.0,125.0
558,42.0,125.0
559,41.0,167.0
560,42.0,166.0
561,84.0,125.0
562,84.0,125.0
563,42.0,125.0
564,83.0,125.0
565,83.0,167.0
566,42.0,167.0
567,83.0,167.0
568,41.0,125.0
569,42.0,125.0
570,84.0,166.0
571,83.0,167.0
572,42.0,125.0
573,41.0,167.0
574,83.0,125.0
575,42.0,167.0
576,42.0,125.0
577,83.0,125.0
578,84.0,125.0
579,83.0,125.0
580,84.0,166.0
581,42.0,166.0
582,83.0,125.0
583,84.0,125.0
584,84.0,125.0
585,83.0,167.0
586,83.0,125.0
587,42.0,166.0
588,83.0,125.0
589,42.0,167.0
590,83.0,125.0
591,84.0,125.0
592,42.0,125.0
593,83.0,125.0
594,84.0,166.0
595,84.0,125.0
596,41.0,125.0
597,42.0,125.0
598,83.0,125.0
599,42.0,125.0
600,83.0,125.0
601,42.0,125.0
602,42.0,125.0
603,41.0,167.0
604,42.0,166.0
605,84.0,208.0
606,83.0,167.0
607,42.0,208.0
608,42.0,166.0
609,42.0,166.0
610,42.0,125.0
611,84.0,166.0
612,41.0,125.0
613,84.0,166.0
614,83.0,209.0
615,42.0,166.0
616,41.0,167.0
617,41.0,167.0
618,83.0,167.0
619,41.0,167.0
620,42.0,166.0
621,41.0,125.0
622,83.0,125.0
623,42.0,125.0
624,41.0,125.0
625,83.0,125.0
626,41.0,125.0
627,83.0,167.0
628,41.0,125.0
629,84.0,125.0
630,84.0,125.0
631,42.0,166.0
632,42.0,167.0
633,83.0,125.0
634,42.0,125.0
635,42.0,125.0
636,84.0,125.0
637,83.0,125.0
638,42.0,167.0
639,83.0,167.0
640,208.0,708.0
641,84.0,125.0
642,41.0,125.0
643,41.0,167.0
644,84.0,125.0
645,42.0,125.0
646,42.0,125.0
647,42.0,125.0
648,41.0,167.0
649,42.0,166.0
650,83.0,125.0
651,83.0,125.0
652,83.0,125.0
653,84.0,166.0
654,41.0,167.0
655,42.0,125.0
656,42.0,167.0
657,42.0,125.0
658,42.0,125.0
659,83.0,125.0
660,83.0,125.0
661,42.0,125.0
662,83.0,125.0
663,42.0,125.0
664,41.0,167.0
665,83.0,125.0
666,84.0,125.0
667,42.0,125.0
668,83.0,125.0
669,42.0,125.0
670,41.0,125.0
671,41.0,125.0
672,84.0,125.0
673,83.0,167.0
674,84.0,125.0
675,83.0,125.0
676,42.0,167.0
677,83.0,125.0
678,41.0,125.0
679,41.0,125.0
680,42.0,166.0
681,41.0,125.0
682,125.0,167.0
683,42.0,125.0
684,42.0,166.0
685,41.0,125.0
686,84.0,166.0
687,83.0,125.0
688,83.0,125.0
689,42.0,166.0
690,42.0,125.0
691,42.0,125.0
692,41.0,167.0
693,41.0,125.0
694,83.0,125.0
695,84.0,125.0
696,125.0,167.0
697,42.0,167.0
698,41.0,125.0
699,41.0,125.0
700,42.0,166.0
701,41.0,125.0
702,42.0,125.0
703,41.0,125.0
704,83.0,167.0
705,41.0,125.0
706,83.0,208.0
707,83.0,125.0
708,41.0,125.0
709,83.0,125.0
710,84.0,208.0
711,42.0,166.0
712,84.0,208.0
713,42.0,166.0
714,84.0,166.0
715,42.0,125.0
716,83.0,125.0
717,83.0,167.0
718,41.0,167.0
719,84.0,166.0
720,42.0,125.0
721,83.0,167.0
722,83.0,167.0
723,42.0,125.0
724,42.0,166.0
725,41.0,125.0
726,83.0,167.0
727,42.0,125.0
728,41.0,125.0
729,42.0,167.0
730,84.0,125.0
731,83.0,125.0
732,84.0,166.0
733,83.0,125.0
734,41.0,125.0
735,42.0,125.0
736,83.0,125.0
737,42.0,167.0
738,42.0,167.0
739,42.0,125.0
740,42.0,166.0
741,42.0,125.0
742,42.0,125.0
743,42.0,208.0
744,83.0,167.0
745,83.0,167.0
746,42.0,125.0
747,83.0,167.0
748,42.0,125.0
749,83.0,166.0
750,83.0,208.0
751,84.0,167.0
752,83.0,167.0
753,83.0,167.0
754,41.0,167.0
755,83.0,167.0
756,84.0,166.0
757,42.0,166.0
758,42.0,166.0
759,42.0,166.0
760,83.0,125.0
761,41.0,167.0
762,83.0,125.0
763,83.0,125.0
764,41.0,125.0
765,42.0,125.0
766,42.0,166.0
767,83.0,125.0
768,250.0,667.0
769,84.0,208.0
770,542.0,708.0
771,125.0,250.0
772,84.0,166.0
773,83.0,167.0
774,84.0,834.0
775,84.0,125.0
776,83.0,167.0
777,84.0,166.0
778,83.0,125.0
779,84.0,166.0
780,84.0,125.0
781,84.0,125.0
782,83.0,125.0
783,125.0,125.0
784,83.0,208.0
785,83.0,125.0
786,125.0,167.0
787,83.0,167.0
788,83.0,125.0
789,42.0,125.0
790,84.0,125.0
791,83.0,125.0
792,84.0,83.0
793,125.0,83.0
794,83.0,125.0
795,42.0,125.0
796,83.0,125.0
797,84.0,125.0
798,83.0,125.0
799,84.0,125.0
800,84.0,125.0
801,9833.0,125.0
802,83.0,167.0
803,84.0,125.0
804,84.0,125.0
805,84.0,125.0
806,83.0,125.0
807,41.0,125.0
808,83.0,125.0
809,1166.0,125.0
810,84.0,125.0
811,84.0,125.0
812,83.0,125.0
813,42.0,125.0
814,83.0,125.0
815,83.0,125.0
816,42.0,125.0
817,83.0,125.0
818,125.0,125.0
819,42.0,125.0
820,83.0,125.0
821,83.0,125.0
822,84.0,125.0
823,41.0,125.0
824,84.0,83.0
825,41.0,125.0
826,83.0,125.0
827,41.0,125.0
828,83.0,125.0
829,42.0,125.0
830,41.0,125.0
831,83.0,125.0
832,42.0,125.0
833,83.0,125.0
834,84.0,167.0
835,84.0,125.0
836,41.0,125.0
837,83.0,84.0
838,42.0,125.0
839,83.0,125.0
840,42.0,83.0
841,83.0,125.0
842,83.0,83.0
843,41.0,125.0
844,84.0,84.0
845,83.0,83.0
846,84.0,166.0
847,83.0,167.0
848,125.0,125.0
849,84.0,125.0
850,84.0,83.0
851,84.0,125.0
852,84.0,83.0
853,125.0,166.0
854,83.0,125.0
855,83.0,125.0
856,83.0,125.0
857,84.0,83.0
858,83.0,125.0
859,83.0,125.0
860,83.0,125.0
861,41.0,125.0
862,42.0,125.0
863,83.0,125.0
864,83.0,125.0
865,83.0,125.0
866,84.0,125.0
867,83.0,125.0
868,84.0,125.0
869,41.0,125.0
870,83.0,125.0
871,84.0,125.0
872,83.0,125.0
873,42.0,125.0
874,42.0,125.0
875,83.0,125.0
876,83.0,125.0
877,42.0,125.0
878,41.0,125.0
879,42.0,167.0
880,83.0,125.0
881,84.0,125.0
882,83.0,125.0
883,83.0,125.0
884,42.0,125.0
885,83.0,125.0
886,83.0,125.0
887,84.0,166.0
888,83.0,125.0
889,83.0,125.0
890,41.0,125.0
891,42.0,125.0
892,42.0,125.0
